,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized 
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns
1876.02,4.52,0.30,0.35,10.85,1876.13,4.58,126.95,8.43,  175.88 ,9.74,  13.49 ,NA,,NA,,,1.00,1.59,11.00%,8.25%,2.75%
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,126.66,8.43,  176.47 ,9.55,  13.30 ,NA,,NA,,,1.00,1.60,10.90%,8.35%,2.55%
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,122.97,8.50,  172.31 ,9.44,  13.23 ,NA,,NA,,,1.00,1.62,11.19%,8.35%,2.84%
1876.05,4.18,0.30,0.33,10.37,1876.38,4.54,122.78,8.81,  173.07 ,9.60,  13.53 ,NA,,NA,,,1.00,1.69,11.24%,8.20%,3.04%
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,125.35,9.06,  177.76 ,9.67,  13.71 ,NA,,NA,,,1.00,1.74,11.62%,8.00%,3.62%
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,123.84,9.06,  176.69 ,9.46,  13.50 ,NA,,NA,,,1.00,1.75,11.76%,7.83%,3.93%
1876.08,3.93,0.30,0.31,10.18,1876.63,4.51,117.60,8.98,  168.85 ,9.18,  13.18 ,NA,,NA,,,1.00,1.74,12.25%,7.77%,4.48%
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,109.39,8.89,  158.13 ,8.89,  12.86 ,NA,,NA,,,1.00,1.74,13.32%,7.84%,5.48%
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,106.82,8.73,  155.47 ,8.54,  12.42 ,NA,,NA,,,1.00,1.71,13.84%,8.01%,5.83%
1876.11,3.60,0.30,0.29,10.56,1876.87,4.47,103.84,8.65,  152.18 ,8.27,  12.12 ,NA,,NA,,,1.00,1.71,14.39%,8.07%,6.32%
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,101.43,8.50,  149.69 ,7.93,  11.71 ,NA,,NA,,,1.00,1.68,14.18%,8.10%,6.08%
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,98.84,8.10,  146.85 ,7.84,  11.65 ,NA,,NA,,,1.00,1.66,14.04%,8.00%,6.04%
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,95.48,8.05,  142.86 ,8.10,  12.12 ,NA,,NA,,,1.00,1.71,14.18%,7.56%,6.61%
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,94.85,8.15,  142.94 ,8.53,  12.85 ,NA,,NA,,,1.00,1.80,14.47%,7.05%,7.43%
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,85.57,7.66,  129.92 ,8.34,  12.67 ,NA,,NA,,,1.00,1.76,15.87%,7.32%,8.56%
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,84.04,7.27,  128.52 ,8.24,  12.60 ,NA,,NA,,,1.00,1.74,16.23%,7.48%,8.75%
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,82.46,7.40,  127.04 ,8.76,  13.49 ,NA,,NA,,,1.00,1.84,16.21%,6.99%,9.21%
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,85.28,7.06,  132.29 ,8.73,  13.54 ,NA,,NA,,,1.00,1.83,15.63%,7.20%,8.43%
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,94.81,7.05,  147.98 ,9.12,  14.23 ,NA,,NA,,,1.00,1.91,13.96%,6.63%,7.32%
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,101.70,6.83,  159.63 ,9.26,  14.53 ,NA,,NA,,,1.00,1.94,13.13%,6.63%,6.50%
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,103.90,6.54,  163.93 ,9.31,  14.69 ,NA,,NA,,,1.00,1.95,12.35%,6.48%,5.87%
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,104.38,6.38,  165.52 ,9.55,  15.15 ,NA,,NA,,,1.00,2.00,12.37%,6.12%,6.25%
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,104.06,6.08,  165.82 ,9.61,  15.31 ,NA,,NA,,,1.00,2.00,12.07%,5.85%,6.22%
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,107.27,6.25,  171.78 ,9.93,  15.90 ,NA,,NA,,,1.00,2.08,11.67%,5.38%,6.30%
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,106.06,6.28,  170.66 ,10.06,  16.19 ,NA,,NA,,,1.00,2.11,11.85%,5.39%,6.46%
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,110.36,6.39,  178.44 ,10.30,  16.66 ,NA,,NA,,,1.00,2.16,10.97%,5.17%,5.80%
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,114.64,6.43,  186.24 ,10.44,  16.96 ,NA,,NA,,,1.00,2.19,10.71%,5.18%,5.53%
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,118.82,6.61,  193.92 ,10.82,  17.66 ,NA,,NA,,,1.00,2.28,10.59%,4.96%,5.63%
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,124.07,6.73,  203.39 ,11.10,  18.19 ,NA,,NA,,,1.00,2.34,9.89%,4.85%,5.04%
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,125.19,6.63,  206.14 ,11.00,  18.11 ,NA,,NA,,,1.00,2.32,9.94%,4.85%,5.09%
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,122.73,6.52,  202.99 ,10.91,  18.05 ,NA,,NA,,,1.00,2.31,10.38%,4.97%,5.42%
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,125.22,6.49,  208.00 ,10.94,  18.17 ,NA,,NA,,,1.00,2.32,10.42%,4.97%,5.46%
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,125.19,6.54,  208.86 ,11.09,  18.50 ,NA,,NA,,,1.00,2.35,10.23%,4.73%,5.50%
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,126.25,6.58,  211.53 ,11.25,  18.85 ,NA,,NA,,,1.00,2.39,9.77%,4.49%,5.28%
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,128.44,6.70,  216.14 ,11.54,  19.42 ,NA,,NA,,,1.00,2.46,9.37%,4.25%,5.11%
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,131.75,6.69,  222.65 ,11.62,  19.64 ,NA,,NA,,,1.00,2.44,9.68%,4.74%,4.94%
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,134.98,6.67,  229.05 ,11.70,  19.86 ,NA,,NA,,,1.00,2.42,9.66%,4.97%,4.69%
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,134.32,6.81,  228.90 ,12.05,  20.54 ,NA,,NA,,,1.00,2.46,9.61%,4.96%,4.66%
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,140.35,6.95,  240.16 ,12.41,  21.23 ,NA,,NA,,,1.00,2.50,9.10%,4.82%,4.29%
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,146.68,7.01,  251.99 ,12.63,  21.69 ,NA,,NA,,,1.00,2.52,9.18%,5.06%,4.12%
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,149.16,7.16,  257.27 ,13.00,  22.41 ,NA,,NA,,,1.00,2.56,9.17%,4.92%,4.26%
